16
 666  1.62  0  0  0  0  0  -0.9  0  0  0  0  0  -0.9  -0.81  0.9 
 0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0  1  0  0.9  0  0  0  0  0  0  0  0  0  0  0 
 0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0 
 0  0.81  0  0  1  -0.9  0  -0.9  0  0  0  0  0  0  -0.81  0 
 0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0 
 0  0  0  -0.81  0  0  1  0  -0.9  0  0  0  0  0  0  0 
 -539.46  -3.0222  0  0  0  0  0  1.729  0  0  0  0  0  0.729  1.5561  -1.629 
 0  0  0  0.9  0  0  0  0  1  0  0  0  0  0  0  0 
 0  0  0  0  0  0  0  0  0  1  0  0  0  0  -0.9  0 
 0  0  0  0  0  0  0  0  0  0  1  0  0  0  -0.9  0 
 0  0  0  0  0  0  0  0  0  0  0  1  0  0  0.9  0 
 0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0 
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0 
 599.4  2.358  0  0  0  0  0  -0.81  0  0  0  0  0  -0.81  -0.729  1.81 
