40
-930 -521 -370 -647 761 622 -485 809 691 951 -827 726 423 -413 41 -416 -279 -357 749 -929 590 178 913 -817 -612 -257 827 889 555 359 223 -903 904 -388 -488 495 726 -834 36 456 
-84 208 -482 964 -454 -428 649 -612 277 -38 291 388 871 -327 122 814 -713 690 771 973 159 -766 39 150 -757 655 -458 -393 560 501 -426 -480 67 -689 974 186 -895 280 724 -537 
124 268 323 -1000 72 259 -126 418 312 181 -410 -205 -24 342 962 -439 880 -76 -475 -387 -489 500 -724 -410 -199 -218 59 -517 325 762 955 -934 452 -75 90 370 725 84 -361 885 
-479 -377 -578 -765 -882 -851 -795 280 -86 -359 -971 -929 -587 -210 -882 -508 -166 -289 -405 -70 459 56 989 -859 -953 -25 187 -812 -76 575 -571 -806 -711 577 -214 -788 -482 561 851 282 
-529 -776 -77 -227 -927 -478 -190 463 701 -475 224 549 -277 -998 664 -300 -82 -306 -541 705 696 630 -894 409 114 -738 -105 -60 682 -148 -601 -819 -788 -483 -98 544 291 -398 95 -679 
-206 837 -570 132 -615 197 164 335 -333 708 -869 115 -961 542 456 332 -987 -337 -588 -963 -878 -502 -379 3 -65 493 124 293 720 -174 -994 -857 -858 -561 93 -245 478 22 128 446 
136 -97 -578 603 203 -461 -137 -487 26 -478 218 932 291 -917 -800 -537 632 107 -276 774 326 78 -812 -486 -968 -193 -567 -441 -578 354 -200 21 -8 -978 885 477 451 -293 -579 105 
337 765 -960 -996 117 -568 963 756 -407 934 753 464 -249 -565 -510 -367 186 10 -127 -746 -184 299 -454 476 -193 -550 116 294 -118 -769 573 101 -76 -647 -323 -3 -292 306 609 86 
520 -80 -734 -339 -452 -439 713 984 -371 561 -360 -255 299 -84 282 -997 336 -80 642 -596 996 634 -989 -335 133 880 -390 -405 177 907 -524 864 -918 -408 -225 631 218 -923 345 361 
-866 -500 -833 -664 -390 -243 436 343 -411 -49 764 -523 -344 984 341 -539 -547 56 23 709 -849 -576 340 -85 -649 -878 -77 -169 -396 491 -590 -308 -113 874 918 234 196 816 -829 -420 
139 -649 -991 155 -274 570 750 714 -185 -79 -110 -620 -341 715 -359 181 223 -54 -761 396 931 642 -981 -146 -591 -211 -954 557 940 -449 -238 952 963 224 -860 -309 -519 -755 663 980 
